background,n. （画等的）背景；底色；背景资料；配乐
wombat,n. 袋熊
jellyfish,n. 水母；海蜇；软弱无用的人；意志薄弱的人
sea anemone,n. 海葵
brain coral,脑珊瑚
flatworm,n. 扁形虫；扁虫
nematode,n. 线虫类；,adj. 线虫类的
conch,n. 贝壳，海螺壳
snail,n. 蜗牛；慢性子
slug,n. 子弹，金属块；鼻涕虫；动作缓慢的人；[物]斯勒格，斯（质量单位）,vi. 动作迟缓；偷懒；,vt. 重击；在…中插嵌片；偷懒
sea slug,n. 海蛤蝓；海参；海牛
chiton,n. 一种衬衣，贝壳的一种
chambered nautilus,No Translation found
Dungeness crab,太平洋大蟹
rock crab,No Translation found
fiddler crab,招潮蟹
king crab,鲎
American lobster,No Translation found
spiny lobster,大螯虾
crayfish,n. 淡水螯虾（肉）；龙虾
hermit crab,n. 寄生蟹
isopod,n. 等脚类的动物；,adj. 等脚类的
white stork,白鹳
black stork,No Translation found
spoonbill,n. 篦鹭；琵嘴
flamingo,n. 红鹳，火烈鸟（羽毛粉红、长颈的大涉禽）
little blue heron,No Translation found
American egret,No Translation found
bittern,n. 麻鸦，盐卤；卤水
crane,n. 吊车，起重机；鹤；,vt.& vi.伸长，探头；,vi. 迟疑，踌躇
limpkin,n. 秧鹤（涉禽的一种）
European gallinule,No Translation found
American coot,No Translation found
bustard,n. 鸨
ruddy turnstone,赤翻石鹬
red-backed sandpiper,No Translation found
redshank,n. 红脚鹬
dowitcher,n. 长嘴半蹼鹬
oystercatcher,n. 蛎鹬
pelican,n. 鹈鹕
king penguin,王企鹅
albatross,n. 信天翁，沉重负担
grey whale,No Translation found
killer whale,n. 逆戟鲸，虎鲸
dugong,n. 儒艮（即海牛，俗称的“美人鱼”）；儒艮属
sea lion,n. 海狮
Chihuahua,n. 奇瓦瓦狗
Japanese spaniel,No Translation found
Maltese dog,马耳他狗（一种白色小狗）
Pekinese,n. 京巴儿；狮子狗；哈巴狗
Shih-Tzu,No Translation found
Blenheim spaniel,布伦海姆狗
papillon,n. 碟耳长毛玩赏小狗
toy terrier,No Translation found
Rhodesian ridgeback,罗得西亚长背猎狗
Afghan hound,n. 阿富汗猎犬
basset,n. 矮腿猎犬
beagle,n. 猎兔犬
bloodhound,n. 猎犬；侦探
bluetick,蓝色快狗
black-and-tan coonhound,No Translation found
Walker hound,No Translation found
English foxhound,No Translation found
redbone,n. 美洲赤狗（一种常用以捕捉浣熊的猎犬）
borzoi,n. 俄国狼狗
Irish wolfhound,[动物]爱尔兰猎犬
Italian greyhound,No Translation found
whippet,n. （赛跑用的）小灵狗，轻型战车
Ibizan hound,No Translation found
Norwegian elkhound,挪威猎犬
otterhound,No Translation found
Saluki,n. 萨卢基狗（一种体细长而高大，皮毛光滑的猎犬）
Scottish deerhound,No Translation found
Weimaraner,n. （德国产）魏玛（猎）狗
Staffordshire bullterrier,No Translation found
American Staffordshire terrier,美国史特富郡梗
Bedlington terrier,n. 贝得灵顿厚毛犬
Border terrier,n. 博德猎狐犬
Kerry blue terrier,克里蓝色小猎犬
Irish terrier,[动物]爱尔兰犬
Norfolk terrier,No Translation found
Norwich terrier,No Translation found
Yorkshire terrier,约克郡犬
wire-haired fox terrier,No Translation found
Lakeland terrier,No Translation found
Sealyham terrier,锡利哈姆犬(产于威尔士的一种白色小犬)
Airedale,n. 硬毛杂种狗，艾尔谷犬
cairn,n. 石冢，石堆纪念碑，堆石界标
Australian terrier,No Translation found
Dandie Dinmont,n. 英国小猎犬
Boston bull,No Translation found
miniature schnauzer,No Translation found
giant schnauzer,巨斯那策㹴犬
standard schnauzer,标准史纳莎;标准型雪纳瑞犬
Scotch terrier,n. 苏格兰一种狗
Tibetan terrier,No Translation found
silky terrier,No Translation found
soft-coated wheaten terrier,No Translation found
West Highland white terrier,No Translation found
Lhasa,n. 拉萨（中国西藏藏族自治区首府）
flat-coated retriever,直毛猎狗
curly-coated retriever,No Translation found
golden retriever,n. 金毛猎犬
Labrador retriever,拉布拉多寻回犬（犬种）
Chesapeake Bay retriever,乞沙比克猎犬；切萨皮克海湾寻回犬
German short-haired pointer,No Translation found
vizsla,n. 维希拉猎犬（一种匈牙利种猎狗）
English setter,[动物]英国谍犬，英国塞特种猎狗(用于捕鸟)
Irish setter,n. 爱尔兰长毛猎犬
Gordon setter,[医]戈登塞特猎犬
Brittany spaniel,No Translation found
clumber,n. 矮脚体壮毛厚的西班牙猎犬
English springer,No Translation found
Welsh springer spaniel,No Translation found
cocker spaniel,n. 一种英国的小猎犬
Sussex spaniel,[动物]苏塞克斯獚(一种短腿、金黄色毛的英国种猎犬)
Irish water spaniel,No Translation found
kuvasz,n. 白警犬
schipperke,n. 狐头竖耳无尾短毛小黑犬（比利时种，多用以看守货物）
groenendael,n. 比利时牧羊狗
malinois,n. 玛伦牧羊犬
briard,n. 布里牧羊狗（原产法国）
kelpie,n. 马形水鬼（苏格兰民间传说中能诱人自溺或预告人们将溺死）
komondor,n. 匈牙利种牧羊犬
Old English sheepdog,英格兰牧羊犬
Shetland sheepdog,设得兰牧羊犬[亦作shelty]
collie,n. 牧羊狗（一种高大聪敏长毛的牧羊狗）
Border collie,n. （英国种的）博德牧羊犬
Bouvier des Flandres,弗兰德牧羊狗（比利时产的一种大而强壮的狗，背部皮毛粗糙，呈浅黄褐色至黑色，最初用于放牧和护卫牛群）
Rottweiler,n. 洛特维勒牧犬（产于德国）
German shepherd,n. 德国牧羊犬，阿尔萨斯狼犬
Doberman,n. 多伯曼短尾狗
miniature pinscher,迷你品
Greater Swiss Mountain dog,No Translation found
Bernese mountain dog,(瑞士)伯尔尼山地长毛狗
Appenzeller,n. (瑞士阿彭策尔州产的)奶酪
EntleBucher,No Translation found
boxer,n. （尤指职业）拳击手；拳师狗；装箱者，装箱工
bull mastiff,斗牛獒
Tibetan mastiff,藏敖
French bulldog,法国斗牛犬（法国老虎犬）
Great Dane,n. 丹麦种大狗
Saint Bernard,n. 圣伯纳德狗（瑞士阿尔卑斯山僧侣饲养的一种狗）
Eskimo dog,北极犬
malamute,n. 爱斯基摩狗
Siberian husky,No Translation found
dalmatian,adj. 达尔马提亚的；,n. 达尔马提亚人，达尔马提亚狗
affenpinscher,n. 猴绠（一种粗毛，竖耳，有猴状表情的欧洲小宠物）
basenji,n. 巴辛吉（产于非洲的小猎狗）
pug,n. 哈巴狗；泥料；拳师；（兽）脚印,vt. 捣，拌，跟踪追寻
Leonberg,[地名][德国]莱昂贝格
Newfoundland,n. 纽芬兰，加拿大东部省名，包括纽芬兰岛和拉布拉多半岛东部。(St.John's:圣·约翰斯，纽芬兰省省会；纽芬兰（岛）（加拿大一省）
Great Pyrenees,大白熊犬
Samoyed,n. 萨莫耶德人
Pomeranian,adj. 波美拉尼亚的；,n. 波美拉尼亚人，波美拉尼亚种小狗
chow,n. 原产地中国的狗（体壮，有褐或黑色厚毛，舌为深蓝色）
keeshond,n. 荷兰卷尾狮毛狗
Brabancon griffon,No Translation found
Pembroke,(=Pembrokeshire)彭布罗克郡（英国郡名）
Cardigan,n. 毛衣，羊毛衫；羊毛背心；开襟绒线衫
toy poodle,No Translation found
miniature poodle,No Translation found
standard poodle,No Translation found
Mexican hairless,[动物]墨西哥无毛狗(一种除头和尾尖长一簇毛外，全身无毛的小狗)
timber wolf,n. 大灰狼（产于北美）；林狼
white wolf,No Translation found
red wolf,[电影]红狼
coyote,n. 郊狼（北美洲西部原野上的小狼）；丛林狼，草原狼
dingo,n. 澳洲的一种野狗
dhole,n. （产于印度的一种）凶猛的野犬；猱犬
African hunting dog,No Translation found
hyena,n. 鬣狗
red fox,n. 赤狐；火狐
kit fox,小狐，小狐毛皮；敏狐
Arctic fox,北极狐
grey fox,No Translation found
tabby,n. 平纹，斑猫；,v. 使起波纹；,adj. 平纹织物的，起波纹的
tiger cat,n. 山猫，虎猫
Persian cat,n. （一种长毛型家猫）波斯猫
Siamese cat,n. 暹罗猫
Egyptian cat,No Translation found
cougar,n. 美洲狮；（追求年轻帅哥的）熟女
lynx,n. 猞猁
leopard,n. 豹；美洲豹，金钱豹，花豹
snow leopard,n. 雪豹
jaguar,n. （中、南美洲的）美洲虎
lion,n. 狮子；名人；[天文学、占星术]狮子（星）座；勇士，名流
tiger,n. 老虎；各种猫科动物；凶恶的人，虎狼之徒
cheetah,n. （奔跑极快的）非洲猎豹
brown bear,棕熊
American black bear,No Translation found
ice bear,n. 冰熊，也被叫作北极熊，参见"北极熊"词条
sloth bear,n. 印度的一种长毛熊
mongoose,n. 猫鼬
meerkat,n. （南非）海岛猫鼬，蒙哥
tiger beetle,n. 班蝥（甲虫的一种）
ladybug,n. 瓢虫
ground beetle,步甲；地鳖
long-horned beetle,天牛
leaf beetle,叶甲
dung beetle,n. 金龟子科，甲虫，蜣螂
rhinoceros beetle,No Translation found
weevil,n. 象鼻虫
fly,vi. 飞；飞行；（旗）飘荡；过得快,vt.& vi.乘（…的）飞机；驾驶（飞机等）；,vt. 驾驶；空运；使飞翔；操作,n. 苍蝇；（作钓饵的）苍蝇；（裤子的）前裆开口；门帘
bee,n. 蜜蜂；（集工作、竞赛、娱乐为一体的）聚会
ant,n. 蚂蚁
grasshopper,n. 蚱蜢，蝗虫，蚂蚱；[空]小型侦察机
cricket,n. 蟋蟀；板球；矮木凳；,vi. 打板球；,adj. 公平的
walking stick,n. 手杖
cockroach,n. [昆]蟑螂
mantis,n. 螳螂
cicada,n. 蝉
leafhopper,n. 叶蝉
lacewing,n. 草蜻蛉；草蛉
dragonfly,n. 蜻蜓
damselfly,n. 豆娘，蜻蛉
admiral,n. 海军将领；舰队司令；旗舰；渔船队长，商船队长
ringlet,n. 发卷（尤指长发卷）
monarch,n. 君主，帝王；最高统治者；[动]黑脉金斑蝶
cabbage butterfly,n. 纹白蝶
sulphur butterfly,n. 白蝴蝶
lycaenid,灰蝶
starfish,n. 海星（一种海洋动物）
sea urchin,n. 海胆
sea cucumber,n. 海参；海黄瓜
wood rabbit,No Translation found
hare,n. 野兔；怪人，傻瓜；,vt.& vi.飞跑，疾走
Angora,n. 安哥拉山羊
hamster,n. 仓鼠
porcupine,n. 豪猪，箭猪
fox squirrel,[动物]黑松鼠（Sciurusniger,产于北美东部）
marmot,n. 旱獭，土拨鼠
beaver,n. 河狸；河狸毛皮；[印]海狸绒布；工作勤恳的人
guinea pig,n. [动]豚鼠，天竺鼠；试验品，实验对象
sorrel,n. 红褐色，栗色；栗色马；,adj. 红褐色的
zebra,n. 斑马；,adj. 有斑纹的
hog,n. 猪；（供食用的）阉公猪；像猪般的人；自私的或贪婪的人,vt. 独占，贪心占取；使拱起；,vi. 拱起
wild boar,n. 野猪
warthog,n. 疣猪（一种非洲野猪）
hippopotamus,n. 河马（产于非洲）
ox,n. 牛，公牛；牛属动物
water buffalo,n. 水牛
bison,n. 野牛
ram,n. 公羊；(R-)白羊（星）座；夯；攻城槌,vt. 夯实（土等）；猛撞；猛压；反复灌输,vi. （使）猛烈撞击；迅速移动；迫使…明白
bighorn,n. 大角羊，加拿大盘羊
ibex,n. 野生山羊
hartebeest,n. 大羚羊（产于非洲）
impala,n. 黑斑羚（产于非洲中南部）
gazelle,n. 瞪羚
Arabian camel,阿拉伯单峰驼
llama,n. 美洲驼
weasel,n. 鼬鼠，黄鼠狼；狡猾的人；卑劣的人；,vi. 躲避，躲闪（承诺、责任等）；含糊其辞
mink,n. [动]水貂；貂皮；貂皮衣；,adj. 豪华的；富裕的
polecat,n. 臭猫，北美产之臭鼬类
black-footed ferret,No Translation found
otter,n. （水）獭；水獭皮；一种钓具
skunk,n. 臭鼬；臭鼬毛皮；卑鄙的人；可恶的人,vt. 使惨败，使得零分；烂醉如泥
badger,n. 獾；獾皮；（大写）獾州人（美国威斯康星州人的别称）；毛鼻袋熊,vt. 纠缠不休；吵着要；烦扰
armadillo,n. 犰狳
three-toed sloth,No Translation found
orangutan,n. 猩猩
gorilla,n. 大猩猩；暴徒，打手
chimpanzee,n. 黑猩猩
gibbon,n. 长臂猿
siamang,n. 合趾猴（产于马来半岛及苏门答腊）
guenon,n. 长尾猴
patas,abbr. PublicationsAutomatedTaskAnalysisSystem出版物自动工作分析系统
baboon,n. 狒狒
macaque,n. 恒河猴，猕猴，叟猴；猢狲；狙
langur,n. 叶猴（一种长尾猴）
colobus,n. （非洲产）疣猴，髯猴（亦作colobusmonkey）
proboscis monkey,n. 长鼻猴
marmoset,n. 绒（美洲产小型长尾猴）；狨
capuchin,n. （天主教的）圣方济会托钵僧；嘉布遣斗篷；僧帽猴
howler monkey,[医]吼猴
titi,n. 狨（绢毛猴）（产于巴西和玻利维亚）；青猴；乌鹱
spider monkey,n. 蜘蛛猿（产于中南美洲）；蛛猴
squirrel monkey,[医]松鼠猴
Madagascar cat,No Translation found
indri,n. 马达加斯加大狐猴
Indian elephant,n. 印度象，亚洲象
African elephant,n. 非洲象
lesser panda,小熊猫；小猫熊
giant panda,n. 大猫熊，大熊猫
barracouta,n. 杖鱼；小棒面包；丈鱼
eel,n. 鳝鱼；鳗鱼；小线虫；精明油滑的人
coho,n. 银大马哈鱼（原产于太平洋海域）
rock beauty,[鱼类]三色刺蝶鱼（Holocanthustricolor）
anemone fish,[鱼类]双锯鱼(Amphiprion)
sturgeon,n. 鲟
gar,n. 长嘴硬鳞鱼，雀鳝属鱼，雀鳝
lionfish,n. 蓑鲉
puffer,n. 吹气的人，吹嘘者；河豚；小发动机
abacus,n. 算盘；（圆柱）顶板
abaya,n. 毛织物，（阿拉伯式）长袍
academic gown,学（位）袍
accordion,n. 手风琴；,adj. 可折叠的
acoustic guitar,原声吉他;木吉他
aircraft carrier,n. 航空母舰
airliner,n. 客机，班机
airship,n. 飞艇，飞船
altar,n. 祭坛，圣坛；圣餐台
ambulance,n. 救护车；野战医院
amphibian,n. 两栖动物；水陆两用车；水旱两生植物；水陆两用飞行器,adj. 两栖（类）的；水陆两用的；具有双重性格的
analog clock,[计]针式台钟，模拟台钟
apiary,n. 养蜂场，蜂房
apron,n. 围裙；[航]停机坪；[机]（防护）挡板；舞台口,vt. 用围裙围住；围绕
ashcan,n. 垃圾桶，深水炸弹；灰坑
assault rifle,（自动或半自动）突击步枪
backpack,n. （指登山者、步行者使用或背小孩时使用的）背包，（有轻金属框的）箱形背包；,vi. 背着背包徒步旅行
bakery,n. 面包房，面包店；烘烤食品（面包、糕点等的总称）
balance beam,n. 平衡木
balloon,n. 气球；热气球；[建]球饰；,vt. 膨胀，涨大；乘热气球飞行；使激增；,adj. 气球状的；（货物等）分量轻而体积大的；（分期付款）最后一笔大数目的；,vi. 乘气球飞行；膨胀；激增
ballpoint,n. （笔的）圆珠笔
Band Aid,邦迪创口贴
banjo,n. 班卓琴
bannister,n. 栏杆
barbell,n. 杠铃
barber chair,打拌子，椅状劈裂
barbershop,n. 理发店；理发店四重唱
barn,n. 谷仓，粮仓；牲口棚；（公共汽车、卡车等的）车库；一种特别大且空荡的房屋
barometer,n. 气压计；晴雨表；显示变化的事物；（舆论等的）标记
barrel,n. 桶；一桶之量；圆筒，活塞筒，滚筒；圆筒,adj. 桶状的；,vt. 装进桶里，放进桶里；,vi. 高速行驶
barrow,n. 独轮车；双轮手推车；古坟；阉猪
baseball,n. 棒球；[体]棒球运动
basketball,n. 篮球；[体]篮球运动
bassinet,n. （婴儿的）摇篮；医院用婴儿床；童车
bassoon,n. （一种吹奏乐器）巴松管，低音管；巴松管吹奏者
bathing cap,n. 游泳帽
bath towel,n. 浴巾
bathtub,n. 浴缸，澡盆
beach wagon,n. 旅行车；客货两用汽车
beacon,n. 灯塔，信号浮标；烽火；指路明灯；警标，界标,vt. 照亮，指引；为…设置信标；用灯指引；,vi. 像灯塔般照耀
beaker,n. 高脚杯；烧杯
bearskin,n. 熊毛皮；（披肩、膝毯等）熊毛皮制品；熊皮高帽
beer bottle,啤酒瓶
beer glass,啤酒杯
bell cote,No Translation found
bib,n. （小儿用的）围嘴；围裙的上部
bicycle-built-for-two,No Translation found
bikini,n. 比基尼式游泳衣；比基尼岛
binder,n. 包扎物，包扎工具；[法]临时契约；粘合剂；装订工
binoculars,n. 双筒望远镜；[光]双筒镜
birdhouse,n. 小鸟笼，小鸟舍，禽舍
boathouse,n. 船库
bobsled,n. 长橇
bolo tie,饰扣式领带
bonnet,n. 童帽；阀帽；（苏格兰男子的）无边帽；烟囱罩，壁炉罩,vt. 给…戴上帽子，给…装上罩
bookcase,n. 书橱，书架，书柜
bookshop,n. 书店
bottlecap,No Translation found
bow,n. 弓；鞠躬；船头；艏
bow tie,n. 蝴蝶结领结
brass,n. 黄铜；铜管乐器；钱；黄铜饰品（尤指马挽具上的黄铜圆片）,v. 〈英〉付（款）；[冶]把…包铜；〈口〉无耻地胡搞
brassiere,n. 奶罩
breakwater,n. 防波堤
breastplate,n. 胸甲，胸革带，腹甲
broom,n. 扫帚；金雀花；[无线]自动搜索干扰振荡器；,vt. 扫除；用扫帚扫；,vi. 桩顶开花或开裂
bucket,n. 水桶；一桶（的量）；大量；〈俚〉交通工具,v. 用桶装，用桶运；倾盆而下；〈美俚〉骗；猛开车，猛划船
buckle,vt.& vi.用搭扣扣紧；（使）变形，弯曲；,n. 搭扣，扣环
bulletproof vest,[医]防弹背心
bullet train,n. 子弹头列车（高速列车）；弹速快车
butcher shop,肉店
cab,n. 出租车；（公共汽车、火车等的）司机室；驾驶室；出租马车,vi. 乘出租车
caldron,n. 大锅（炉），大汽锅；锅状盆地
candle,n. 蜡烛；烛光；蜡烛状物；,vt. 对光检查
cannon,n. 大炮；机关炮；榴弹炮；加农炮,vi. 与…猛撞；开炮；,vt. 炮轰
canoe,n. 独木舟，轻舟；,vt. 用独木舟运送；,vi. 划（乘）独木舟
can opener,n. 开罐器
cardigan,n. 毛衣，羊毛衫；羊毛背心；开襟绒线衫
car mirror,No Translation found
carousel,n. 旋转木马
carpenter's kit,No Translation found
carton,n. 尤指装食品或液体的)硬纸盒；塑料盒；硬纸盒（或塑料盒）所装物品；纸板盒,vt. 用盒包装
car wheel,No Translation found
cash machine,自动取款机
cassette,n. 盒式录音带；摄影胶卷暗匣，弹夹；珠宝箱，宝匣
cassette player,n. 卡式录音
castle,n. 城堡，堡垒；象棋中的车；,vt. 把…置于城堡中；（下国际象棋时）用车护（王）
catamaran,n. 双体船，筏
CD player,abbr. (=compactdiscplayer)激光唱机；CD播放器
cello,n. 大提琴
cellular telephone,移动电话
chain,n. 链子，链条；连锁，连续；拘束；连锁店或旅馆系列的事物,vt. 用铁链锁住；监禁，束缚
chainlink fence,链状栅栏
chain mail,n. 锁子甲
chain saw,n. 链锯，小型机器锯
chest,n. 胸部，胸腔；箱子；金库；资金
chiffonier,n. 西洋梳镜柜，小衣橱
chime,vt.& vi.敲出和谐的乐声；报时；机械地重复；合节奏,n. 合奏钟声，钟乐；谐音，韵律；和谐；[航]甲板上的沟
china cabinet,瞅
Christmas stocking,n. 圣诞袜
church,n. [宗]教堂；[宗]教徒；[宗]教派；[宗]教会,adj. 教会的；礼拜的；,vt. 领…到教堂接受宗教仪式
cinema,n. 电影院；电影艺术；电影业；电影
cleaver,n. 砍肉刀，剁肉刀
cliff dwelling,悬崖屋
cloak,n. 披风，斗篷；外套；借口，掩饰；覆盖物,vt. 遮盖，掩盖；用外衣遮蔽
clog,n. 木底鞋；障碍；,v. 阻碍；堵塞
cocktail shaker,n. 调酒器
coffee mug,No Translation found
coffeepot,n. 咖啡壶
coil,n. （一）卷，（一）盘；盘卷之物；线圈；纷乱，纠缠不清,vt. 盘绕；卷成一圈；,vi. 绕成盘状；卷绕成圈
combination lock,n. 号码锁
computer keyboard,计算机键盘
confectionery,n. 甜食
container ship,n. 货柜船，集装箱运货船
convertible,adj. 可改变的；可变换的；（货币）可以自由兑换的；（汽车等）有折篷的,n. 敞篷车
corkscrew,n. 开塞钻，螺丝锥；,adj. 拔钻形的，螺旋形的；,v. 硬拉出，探听，作螺旋状前进
cornet,n. 短号；（盛冰激凌的）圆锥形蛋卷；吹短号者
cowboy boot,牛仔矮靴
cowboy hat,n. 牛仔帽，宽边高呢帽
cradle,n. 摇篮；发源地，发祥地；吊架，支架；婴儿时期,vt. 将…置于摇篮中；轻轻地抱或捧；抚养；把…搁在支架上
crash helmet,n. 头盔，安全帽
crate,n. 板条箱，柳条箱；装货箱；一箱（之量）；（俚）破旧的汽车（飞机）,vt. （用篮筐或板条箱）把…装入箱中
crib,n. （有栏杆的）小儿床；饲料槽；牛栏；剽窃，偷窃,vt. 束缚，限制；为…设置木栏；剽窃；,vi. 抄袭；欺骗
Crock Pot,No Translation found
croquet ball,No Translation found
crutch,n. 拐杖；支持物；精神上的寄托；胯部,vt. 支撑；支持
cuirass,n. 胸甲，铁甲；妇女的胸衣
dam,n. 水坝，堰；水库；（牙科用的）橡皮障；〈比喻〉障碍,vt. 用水坝阻止；阻塞，抑制
desk,n. 书桌，办公桌；服务台；部门；（美）讲道台,adj. 书桌的，书桌上用的
desktop computer,台式电脑
dial telephone,自动电话
diaper,n. 尿布；菱形花格的麻或棉织物；,vt. 包上尿布；用菱形花纹纺织或装饰
digital clock,n. 数字显示式时钟
digital watch,数字显示式电子表
dining table,n. 餐桌
dishrag,n. 洗碟用布，抹布
dishwasher,n. 洗碗工；洗碟机，洗碗机
disk brake,盘式制动器，圆盘闸
dock,n. 码头；被告席；草本植物；尾巴的骨肉部份,vt.& vi.（使）船停靠码头；剪短（尾巴等）；削减，缩减（工资等）；在…设置船坞,vi. 入船坞
dogsled,狗拉的雪撬
dome,n. 圆屋顶；像圆屋顶一样的东西；圆顶体育场；,vt. 加圆屋顶于…上；,vi. 成圆顶状
doormat,n. 门前地垫
drilling platform,钻探平台
drum,n. 鼓；鼓状物；鼓声；石首鱼,vt. 击鼓；连打；反复讲；鼓吹,vi. 击鼓；连打；拍翅
drumstick,n. 鼓槌，鼓槌（形物）体（如鸡腿等）
dumbbell,n. 哑铃；蠢人；笨蛋；傻瓜
Dutch oven,荷兰灶；荷兰烤肉锅
electric fan,n. 电扇；电风扇
electric guitar,n. 电吉他
electric locomotive,电气机车；电机车
entertainment center,娱乐中心
envelope,n. 信封，封皮；壳层，外壳；包裹物；[生物学]膜，包袋
espresso maker,No Translation found
face powder,n. 扑面粉
feather boa,n. 女用长围巾
file,vt. 提出（离婚诉讼或其他讼案）；把…归档；用锉锉；发稿，寄给报社,vi. 发送（报道给报社）；排成一行行走；提出申请；,n. 文件（夹）；档案；纵列；锉刀
fireboat,n. 救火船
fire engine,n. 消防车
fire screen,n. 火炉栏；炉挡
flagpole,n. 旗杆
flute,n. 长笛，长笛吹奏者；细长香槟杯；（柱上的）凹槽；（女服的）管状裙褶,v. 吹长笛，发笛声；用长笛吹，用长笛般的声音歌唱；在…上刻凹槽
folding chair,折（叠）椅
